perodFrom,periodTo,zoneFrom,zoneTo,Auto,Transit
0,1,1,1,14.58677,33.98751
0,1,1,2,6.096309,5.571657
0,1,1,3,0.7565522,0.2390728
0,1,1,4,0.1948462,0.04291124
0,1,1,5,0.07154529,0.02624987
0,1,1,6,0.0786022,0.03823065
0,1,1,7,0.1159486,0.05830579
0,1,1,8,0.05383472,0.02110372
0,1,1,9,0.09903288,0.0255895
0,1,1,10,0.0162451,0.001870211
0,1,1,11,0.04329023,0.00679752
0,1,1,12,0.07511691,0.02881889
0,1,1,13,0.06045648,0.02007103
0,1,1,14,0.07707643,0.02010549
0,1,1,15,0.07516476,0.01819181
0,1,1,16,0.1173732,0.02089738
0,1,1,17,0.07673603,0.01789233
0,1,1,18,0.04214962,0.01092976
0,1,1,19,0.03158324,0.002511617
0,1,1,20,0.009752046,0.0008201885
0,1,1,21,0.01356449,0.001660465
0,1,1,22,0.1028792,0.01250689
0,1,1,23,0.01961865,0.001792281
0,1,1,24,0.06784627,0.007282787
0,1,1,25,0.003631442,0.0001794722
0,1,1,30,0.06674428,0.0101672
0,1,1,32,0.009257931,0.0004538907
0,1,1,33,0.1001669,0.0241478
0,1,1,34,3.102906,3.447047
0,1,1,35,0.006926589,0.0003976173
0,1,1,36,0.002383592,0.0002854755
0,1,1,38,0.003436776,0.0001725966
0,1,1,39,0.002369924,0.0001308109
0,1,1,40,0.001821353,0.0001399318
0,1,2,1,6.935003,6.48846
0,1,2,2,18.69049,42.29983
0,1,2,3,4.906644,3.772346
0,1,2,4,0.3433479,0.1999034
0,1,2,5,0.1109129,0.09184018
0,1,2,6,0.1165787,0.1243342
0,1,2,7,0.1738913,0.1954101
0,1,2,8,0.08612889,0.06997268
0,1,2,9,0.1686519,0.100919
0,1,2,10,0.1056126,0.02690086
0,1,2,11,0.08336616,0.0285945
0,1,2,12,0.1311722,0.109
0,1,2,13,0.1191933,0.07334848
0,1,2,14,0.1482338,0.07349952
0,1,2,15,0.1465169,0.0614087
0,1,2,16,0.2237978,0.079749
0,1,2,17,0.1416872,0.06998636
0,1,2,18,0.07778917,0.0428306
0,1,2,19,0.199704,0.03400936
0,1,2,20,0.06519562,0.01161894
0,1,2,21,0.0901915,0.02195513
0,1,2,22,0.3046087,0.07203376
0,1,2,23,0.0406548,0.006997393
0,1,2,24,0.141549,0.02791562
0,1,2,25,0.01563061,0.001875293
0,1,2,30,0.474715,0.1840889
0,1,2,32,0.004837631,0.000136857
0,1,2,33,0.0550386,0.005971361
0,1,2,34,2.10731,1.571062
0,1,2,35,0.03358668,0.003907525
0,1,2,36,0.01411245,0.00305063
0,1,2,38,0.0225514,0.002193089
0,1,2,39,0.01628242,0.002043167
0,1,2,40,0.01196724,0.002076773
0,1,3,1,0.8846536,0.2621055
0,1,3,2,4.023014,2.842588
0,1,3,3,26.38949,51.56783
0,1,3,4,0.4637282,0.2300184
0,1,3,5,0.07710361,0.02917394
0,1,3,6,0.08844393,0.04047541
0,1,3,7,0.1343971,0.05777155
0,1,3,8,0.05705783,0.02450991
0,1,3,9,0.149687,0.04457609
0,1,3,10,0.2430538,0.1336761
0,1,3,11,0.07761988,0.01776332
0,1,3,12,0.07968041,0.03226345
0,1,3,13,0.05962159,0.02576812
0,1,3,14,0.07836422,0.0266881
0,1,3,15,0.07696148,0.02500567
0,1,3,16,0.1280054,0.02982005
0,1,3,17,0.08084824,0.0237371
0,1,3,18,0.04964979,0.0165367
0,1,3,19,0.182558,0.03745729
0,1,3,20,0.05198506,0.01089784
0,1,3,21,0.07165316,0.01991377
0,1,3,22,0.2574375,0.05595998
0,1,3,23,0.03553727,0.00432041
0,1,3,24,0.08507619,0.01246163
0,1,3,25,0.01160365,0.001216767
0,1,3,30,2.800084,3.254895
0,1,3,31,0.002813609,8.477249E-05
0,1,3,32,0.01254866,0.001094941
0,1,3,33,0.09078699,0.01141113
0,1,3,34,2.729562,1.765416
0,1,3,35,0.1858669,0.05864613
0,1,3,36,0.01875398,0.002399159
0,1,3,38,0.01384967,0.001102192
0,1,3,39,0.009262822,0.001233048
0,1,3,40,0.00603703,0.00112298
0,1,4,1,0.05635061,0.01390779
0,1,4,2,0.1512092,0.03740213
0,1,4,3,0.1285521,0.0318798
0,1,4,4,46.28835,11.44091
0,1,4,5,0.7297925,0.1767731
0,1,4,6,1.573303,0.3827111
0,1,4,7,2.735286,0.6642029
0,1,4,8,0.8880075,0.2162093
0,1,4,9,5.532307,1.346377
0,1,4,10,0.0140936,0.003452495
0,1,4,11,2.089881,0.5036505
0,1,4,12,1.59685,0.3872013
0,1,4,13,0.5551417,0.1350348
0,1,4,14,0.5222716,0.126909
0,1,4,15,0.422469,0.1026422
0,1,4,16,0.6677783,0.1618056
0,1,4,17,0.7069945,0.1712565
0,1,4,18,0.8947789,0.2167145
0,1,4,19,0.07934483,0.0193025
0,1,4,20,0.02844349,0.006924269
0,1,4,21,0.05203219,0.01266348
0,1,4,22,2.068796,0.4988836
0,1,4,23,0.09219584,0.02222775
0,1,4,24,0.1507256,0.03643455
0,1,4,25,0.01472391,0.0035648
0,1,4,30,0.02869432,0.007090635
0,1,4,31,0.002614448,0.0006307961
0,1,4,32,0.005293488,0.001283178
0,1,4,33,0.005587932,0.001355475
0,1,4,34,0.02690214,0.006644548
0,1,4,35,0.03591585,0.008720982
0,1,4,36,0.03042288,0.007411654
0,1,4,37,0.005544052,0.001354778
0,1,4,38,0.01982826,0.004825071
0,1,4,39,0.02814512,0.006866318
0,1,4,40,0.0300735,0.007352041
0,1,5,1,0.03341109,0.01036051
0,1,5,2,0.08033052,0.02490985
0,1,5,3,0.03183386,0.009871428
0,1,5,4,0.7128088,0.2210358
0,1,5,5,4.836135,1.499644
0,1,5,6,5.428418,1.683309
0,1,5,7,5.866996,1.819306
0,1,5,8,4.270922,1.324381
0,1,5,9,1.704663,0.5286027
0,1,5,10,0.003595073,0.001114803
0,1,5,11,0.3156602,0.09788382
0,1,5,12,3.112114,0.9650436
0,1,5,13,1.325043,0.4108864
0,1,5,14,1.259778,0.3906483
0,1,5,15,1.030065,0.3194157
0,1,5,16,1.283094,0.3978775
0,1,5,17,1.172028,0.3634374
0,1,5,18,0.6772644,0.2100148
0,1,5,19,0.02217013,0.006874776
0,1,5,20,0.007717583,0.002393161
0,1,5,21,0.01584901,0.004914652
0,1,5,22,0.3123197,0.09684786
0,1,5,23,0.04506361,0.01397391
0,1,5,24,0.3115379,0.09660544
0,1,5,25,0.006166234,0.001912101
0,1,5,30,0.005168947,0.001602849
0,1,5,32,0.001268288,0.000393286
0,1,5,33,0.001604591,0.0004975707
0,1,5,34,0.01169053,0.00362514
0,1,5,35,0.009283376,0.0028787
0,1,5,36,0.01062855,0.00329583
0,1,5,37,0.002253643,0.0006988366
0,1,5,38,0.007757932,0.002405672
0,1,5,39,0.01439692,0.004464376
0,1,5,40,0.01726701,0.005354367
0,1,6,1,0.03815328,0.008191045
0,1,6,2,0.08199935,0.01760427
0,1,6,3,0.03713664,0.007972793
0,1,6,4,1.25036,0.2684373
0,1,6,5,4.871364,1.045825
0,1,6,6,5.692473,1.222108
0,1,6,7,7.576276,1.626536
0,1,6,8,4.342277,0.9322351
0,1,6,9,2.721612,0.5842963
0,1,6,10,0.004295624,0.0009222182
0,1,6,11,0.5121353,0.1099492
0,1,6,12,4.138061,0.8883905
0,1,6,13,1.571196,0.3373162
0,1,6,14,1.467941,0.3151485
0,1,6,15,1.149912,0.2468717
0,1,6,16,1.434089,0.3078806
0,1,6,17,1.375297,0.2952591
0,1,6,18,0.922522,0.198054
0,1,6,19,0.02870263,0.006162106
0,1,6,20,0.01000981,0.002148985
0,1,6,21,0.01875707,0.004026915
0,1,6,22,0.4640181,0.09961898
0,1,6,23,0.06748988,0.01448923
0,1,6,24,0.382492,0.08211621
0,1,6,25,0.007696205,0.00165228
0,1,6,30,0.00662701,0.001422739
0,1,6,31,0.001006204,0.0002160197
0,1,6,32,0.0019002,0.0004079498
0,1,6,33,0.002384904,0.0005120101
0,1,6,34,0.01478331,0.003173795
0,1,6,35,0.01293228,0.002776403
0,1,6,36,0.01285642,0.002760117
0,1,6,37,0.002708178,0.0005814129
0,1,6,38,0.009965708,0.002139516
0,1,6,39,0.01703032,0.0036562
0,1,6,40,0.01997587,0.00428857
0,1,7,1,0.03750255,0.008358098
0,1,7,2,0.08230114,0.01833884
0,1,7,3,0.03691902,0.008230302
0,1,7,4,1.391412,0.3106854
0,1,7,5,3.408463,0.760924
0,1,7,6,5.393085,1.203828
0,1,7,7,8.144154,1.816527
0,1,7,8,3.192429,0.7111018
0,1,7,9,2.955934,0.6579952
0,1,7,10,0.004375292,0.0009749968
0,1,7,11,0.5539073,0.1232333
0,1,7,12,4.104886,0.9128731
0,1,7,13,1.563394,0.34779
0,1,7,14,1.443872,0.3210963
0,1,7,15,1.10409,0.2455307
0,1,7,16,1.358177,0.3019393
0,1,7,17,1.34014,0.2980684
0,1,7,18,0.9057523,0.2012729
0,1,7,19,0.02953692,0.006583143
0,1,7,20,0.01030648,0.002296897
0,1,7,21,0.01957127,0.004364951
0,1,7,22,0.4962045,0.1105465
0,1,7,23,0.05953325,0.01318777
0,1,7,24,0.3587152,0.07973175
0,1,7,25,0.007489673,0.001665696
0,1,7,30,0.006633258,0.001478423
0,1,7,31,0.00103895,0.000231418
0,1,7,32,0.001937047,0.000431626
0,1,7,33,0.002387441,0.0005319256
0,1,7,34,0.01441561,0.003213069
0,1,7,35,0.01339097,0.002984213
0,1,7,36,0.01332793,0.002972666
0,1,7,37,0.002797317,0.0006239465
0,1,7,38,0.01021655,0.002278316
0,1,7,39,0.01669808,0.003716719
0,1,7,40,0.01973643,0.004393319
0,1,8,1,0.03082136,0.005562324
0,1,8,2,0.06961285,0.01256302
0,1,8,3,0.02912678,0.005256505
0,1,8,4,0.8067089,0.1455868
0,1,8,5,3.551596,0.6409546
0,1,8,6,4.335929,0.7825046
0,1,8,7,4.627401,0.8351068
0,1,8,8,3.10474,0.5603118
0,1,8,9,2.421534,0.4370143
0,1,8,10,0.003653633,0.000659371
0,1,8,11,0.4939859,0.08914965
0,1,8,12,4.54839,0.8208477
0,1,8,13,1.894168,0.3418401
0,1,8,14,1.741821,0.3143461
0,1,8,15,1.377808,0.2486529
0,1,8,16,1.725319,0.3113683
0,1,8,17,1.623502,0.2929932
0,1,8,18,1.061097,0.1914962
0,1,8,19,0.02316743,0.004181022
0,1,8,20,0.007866378,0.001419645
0,1,8,21,0.01860673,0.003357955
0,1,8,22,0.4927645,0.08892922
0,1,8,23,0.07733361,0.0139564
0,1,8,24,0.4476496,0.08078731
0,1,8,25,0.008529035,0.001539234
0,1,8,30,0.005459163,0.0009852147
0,1,8,32,0.001423059,0.0002568194
0,1,8,33,0.001846403,0.0003332206
0,1,8,34,0.01136793,0.002051568
0,1,8,35,0.01002857,0.001809857
0,1,8,36,0.01251517,0.002258611
0,1,8,37,0.002646693,0.0004776485
0,1,8,38,0.009782463,0.00176544
0,1,8,39,0.01812198,0.003270472
0,1,8,40,0.0209324,0.003777669
0,1,9,1,0.0394279,0.009386608
0,1,9,2,0.1092267,0.02600364
0,1,9,3,0.04380918,0.01042966
0,1,9,4,3.412911,0.8125149
0,1,9,5,1.16735,0.2779111
0,1,9,6,2.255253,0.5369087
0,1,9,7,3.270326,0.778568
0,1,9,8,1.871628,0.4455787
0,1,9,9,11.18597,2.663049
0,1,9,10,0.006500348,0.00154754
0,1,9,11,2.411172,0.5740287
0,1,9,12,3.838054,0.9137254
0,1,9,13,1.939137,0.4616503
0,1,9,14,1.719814,0.4094361
0,1,9,15,1.306101,0.3109435
0,1,9,16,1.584933,0.3773249
0,1,9,17,1.601731,0.3813241
0,1,9,18,1.192096,0.2838022
0,1,9,19,0.04839597,0.01152165
0,1,9,20,0.01670507,0.003976983
0,1,9,21,0.03869646,0.009212479
0,1,9,22,1.723014,0.4101991
0,1,9,23,0.1172703,0.02791855
0,1,9,24,0.3870057,0.09213442
0,1,9,25,0.0126898,0.003021065
0,1,9,30,0.009976279,0.002375057
0,1,9,31,0.001618421,0.0003852985
0,1,9,32,0.003004724,0.000715336
0,1,9,33,0.002906911,0.000692049
0,1,9,34,0.01250211,0.00297638
0,1,9,35,0.02135137,0.005083127
0,1,9,36,0.02468389,0.005876501
0,1,9,37,0.005177445,0.001232596
0,1,9,38,0.01884857,0.004487284
0,1,9,39,0.02559051,0.00609234
0,1,9,40,0.02795257,0.006654677
0,1,10,1,0.06432437,0.01014476
0,1,10,2,0.47661,0.1894274
0,1,10,3,1.068711,1.008616
0,1,10,4,0.1255531,0.1043574
0,1,10,5,0.02053759,0.007998327
0,1,10,6,0.02431107,0.01338625
0,1,10,7,0.03751251,0.02085099
0,1,10,8,0.01691779,0.007284173
0,1,10,9,0.05759563,0.03462188
0,1,10,10,1.173023,3.341667
0,1,10,11,0.03127798,0.0214652
0,1,10,12,0.02672037,0.0152294
0,1,10,13,0.02093902,0.009426042
0,1,10,14,0.02725548,0.01060221
0,1,10,15,0.02732413,0.008947739
0,1,10,16,0.0481591,0.01481795
0,1,10,17,0.03056238,0.0125171
0,1,10,18,0.0217559,0.01239399
0,1,10,19,1.861497,1.202178
0,1,10,20,0.6234373,0.4340702
0,1,10,21,1.243646,0.8564268
0,1,10,22,0.5153778,0.2840093
0,1,10,23,0.02140656,0.003662973
0,1,10,24,0.04430081,0.009181155
0,1,10,25,0.03998929,0.008025268
0,1,10,30,0.3372804,0.2034836
0,1,10,31,0.001936583,7.441369E-05
0,1,10,32,0.00520955,0.0005850777
0,1,10,33,0.005137065,0.0004787431
0,1,10,34,0.02492762,0.003094856
0,1,10,35,0.2345849,0.07261404
0,1,10,36,0.1204671,0.02829667
0,1,10,37,0.004045219,0.0008413228
0,1,10,38,0.06019645,0.008184476
0,1,10,39,0.04815512,0.006932509
0,1,10,40,0.02736446,0.00360911
0,1,11,1,0.006694919,0.00213131
0,1,11,2,0.0198233,0.006430988
0,1,11,3,0.01092814,0.003513629
0,1,11,4,1.533943,0.3779233
0,1,11,5,0.1145681,0.03437933
0,1,11,6,0.2485124,0.07582164
0,1,11,7,0.3813461,0.1121327
0,1,11,8,0.1726351,0.0557403
0,1,11,9,1.199576,0.3814814
0,1,11,10,0.001851651,0.0005896592
0,1,11,11,0.941947,0.3314818
0,1,11,12,0.6479747,0.2226398
0,1,11,13,0.293753,0.1029332
0,1,11,14,0.3127242,0.1122229
0,1,11,15,0.2232842,0.07889559
0,1,11,16,0.3769105,0.1335043
0,1,11,17,0.4131351,0.1469212
0,1,11,18,0.546548,0.1979737
0,1,11,19,0.01363529,0.004232122
0,1,11,20,0.004644439,0.001437833
0,1,11,21,0.01204972,0.003806147
0,1,11,22,0.9709134,0.3231098
0,1,11,23,0.04526298,0.01522625
0,1,11,24,0.07782563,0.02678405
0,1,11,25,0.003861839,0.001218316
0,1,11,30,0.002444748,0.000759446
0,1,11,34,0.002158216,0.0006835068
0,1,11,35,0.005741691,0.00175121
0,1,11,36,0.007324058,0.002345436
0,1,11,37,0.001517208,0.0004935481
0,1,11,38,0.004985778,0.00165374
0,1,11,39,0.006700553,0.002184385
0,1,11,40,0.007172124,0.002368091
0,1,12,9,0.001036079,0.000244681
0,1,12,12,0.001787239,0.0004223244
0,1,12,13,0.002305765,0.0005445246
0,1,12,14,0.00271336,0.0006406888
0,1,12,15,0.001965238,0.0004640793
0,1,12,16,0.002990185,0.0007061503
0,1,12,17,0.002729953,0.0006447458
0,1,12,18,0.001989512,0.0004694703
0,1,13,1,0.006260284,0.001135665
0,1,13,2,0.01409439,0.00255652
0,1,13,3,0.005833534,0.001058244
0,1,13,4,0.06104099,0.01107082
0,1,13,5,0.09190305,0.01667178
0,1,13,6,0.1257013,0.02280695
0,1,13,7,0.17103,0.0310307
0,1,13,8,0.1164871,0.0211325
0,1,13,9,0.2360493,0.04282408
0,1,13,11,0.08379341,0.01519944
0,1,13,12,0.4422603,0.08020781
0,1,13,13,0.7311186,0.1323561
0,1,13,14,1.197288,0.2167793
0,1,13,15,1.748837,0.3167642
0,1,13,16,1.454025,0.2634314
0,1,13,17,0.6149956,0.1114913
0,1,13,18,0.2610849,0.04733012
0,1,13,19,0.005751724,0.001043419
0,1,13,20,0.001808728,0.0003281176
0,1,13,21,0.005075596,0.0009206577
0,1,13,22,0.1341269,0.02433356
0,1,13,23,0.04759569,0.008628708
0,1,13,24,0.5095013,0.09232012
0,1,13,25,0.006314579,0.001144371
0,1,13,30,0.001089505,0.0001976326
0,1,13,34,0.00216774,0.000393262
0,1,13,35,0.002310248,0.0004191488
0,1,13,36,0.003778326,0.0006854153
0,1,13,38,0.003255906,0.0005905993
0,1,13,39,0.0107505,0.001949079
0,1,13,40,0.01178498,0.002136519
0,1,14,1,0.02178636,0.003931796
0,1,14,2,0.05094783,0.009194579
