perodFrom,periodTo,zoneFrom,zoneTo,Auto,Transit
0,1,4,39,0.02568754,0.006264847
0,1,4,40,0.02733664,0.006683908
0,1,5,1,0.02890297,0.008962576
0,1,5,2,0.06562275,0.02034908
0,1,5,3,0.02772732,0.008598022
0,1,5,4,0.5482191,0.1699981
0,1,5,5,4.795014,1.486895
0,1,5,6,5.390793,1.671644
0,1,5,7,5.895127,1.828029
0,1,5,8,4.210061,1.305509
0,1,5,9,1.612508,0.5000262
0,1,5,10,0.003129102,0.0009703096
0,1,5,11,0.2832874,0.08784527
0,1,5,12,3.074077,0.9532482
0,1,5,13,1.338991,0.4152111
0,1,5,14,1.252117,0.3882721
0,1,5,15,1.025444,0.3179825
0,1,5,16,1.249606,0.3874935
0,1,5,17,1.155044,0.3581703
0,1,5,18,0.6695977,0.2076373
0,1,5,19,0.02018428,0.006258983
0,1,5,20,0.006907476,0.002141952
0,1,5,21,0.01393714,0.0043218
0,1,5,22,0.272175,0.08439932
0,1,5,23,0.04851627,0.01504453
0,1,5,24,0.3055723,0.0947557
0,1,5,25,0.006036696,0.001871933
0,1,5,30,0.004413564,0.001368611
0,1,5,32,0.001634502,0.0005068461
0,1,5,33,0.002571698,0.000797463
0,1,5,34,0.009839819,0.003051246
0,1,5,35,0.009050108,0.002806365
0,1,5,36,0.009879941,0.003063692
0,1,5,37,0.002087861,0.0006474294
0,1,5,38,0.006817569,0.002114075
0,1,5,39,0.01391991,0.004316456
0,1,5,40,0.0161988,0.005023126
0,1,6,1,0.03308032,0.007101942
0,1,6,2,0.06734151,0.01445741
0,1,6,3,0.03236721,0.006948852
0,1,6,4,0.9835291,0.2111516
0,1,6,5,4.936222,1.05975
0,1,6,6,5.814454,1.248296
0,1,6,7,7.831086,1.68124
0,1,6,8,4.364395,0.9369838
0,1,6,9,2.503867,0.5375496
0,1,6,10,0.003787457,0.000813121
0,1,6,11,0.4397013,0.09439846
0,1,6,12,4.109682,0.8822975
0,1,6,13,1.547057,0.3321337
0,1,6,14,1.420779,0.3050232
0,1,6,15,1.13651,0.2439943
0,1,6,16,1.403149,0.3012384
0,1,6,17,1.329005,0.2853211
0,1,6,18,0.899093,0.1930241
0,1,6,19,0.02651443,0.005692323
0,1,6,20,0.009098593,0.001953357
0,1,6,21,0.0161387,0.003464779
0,1,6,22,0.3897262,0.08366942
0,1,6,23,0.06948568,0.0149177
0,1,6,24,0.3799417,0.08156872
0,1,6,25,0.007512672,0.001612878
0,1,6,30,0.00576424,0.001237512
0,1,6,31,0.001075133,0.0002308179
0,1,6,32,0.002165321,0.0004648684
0,1,6,33,0.003320248,0.0007128174
0,1,6,34,0.01236102,0.002653762
0,1,6,35,0.01265419,0.0027167
0,1,6,36,0.01176125,0.002524997
0,1,6,37,0.002387054,0.0005124712
0,1,6,38,0.00854946,0.001835465
0,1,6,39,0.01639308,0.003519392
0,1,6,40,0.01879259,0.004034539
0,1,7,1,0.03328129,0.007418337
0,1,7,2,0.06980275,0.01555382
0,1,7,3,0.03286302,0.007326606
0,1,7,4,1.101272,0.2459951
0,1,7,5,3.484264,0.7779132
0,1,7,6,5.526141,1.233506
0,1,7,7,8.390479,1.871384
0,1,7,8,3.205114,0.7139359
0,1,7,9,2.62005,0.5833025
0,1,7,10,0.003862304,0.0008607426
0,1,7,11,0.4545095,0.1011522
0,1,7,12,4.004855,0.8905582
0,1,7,13,1.531916,0.3407543
0,1,7,14,1.384741,0.3079351
0,1,7,15,1.085885,0.2414488
0,1,7,16,1.331839,0.296024
0,1,7,17,1.295612,0.2881068
0,1,7,18,0.8833157,0.1963367
0,1,7,19,0.02739937,0.006107303
0,1,7,20,0.009412541,0.002098101
0,1,7,21,0.01654572,0.003686512
0,1,7,22,0.4100146,0.09127061
0,1,7,23,0.06568474,0.01456682
0,1,7,24,0.3553638,0.07897869
0,1,7,25,0.007260137,0.001614566
0,1,7,30,0.005881087,0.001310961
0,1,7,31,0.001060558,0.0002361866
0,1,7,32,0.002092107,0.0004664017
0,1,7,33,0.003220042,0.0007175445
0,1,7,34,0.01228656,0.002738724
0,1,7,35,0.01307415,0.002914175
0,1,7,36,0.01200738,0.002676451
0,1,7,37,0.002426094,0.0005407737
0,1,7,38,0.008637587,0.001924646
