TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,industry,other,service,workplace,superZone,IntExt,xi,yi,Students,area,socio,vehAdultFactor,SZ_new,ssz,settl_size,ORTHO,ARABS,REST,childEdu,adultEdu
117,2570.5,1826.3,7164.6,956.4,1029.3,624.1,759.3,2480.2,1315.4,957.94232,465.3364507,1324.831548,2748.01788,1,2,208.82669,766.682922,1709,1.32,8,1,1,2,3,0,0,1,1709,0
118,1242.4,1154.3,3462.8,462.2,497.5,301.6,367,1198.7,635.8,93.39350288,45.36745089,129.1629531,267.9148947,1,2,208.571258,766.076904,198,0.38,7,1,1,2,3,0,0,1,198,0
201,943.4,852.9,2112.2,354.4,364.5,197.4,229.8,673.4,292.7,237.4316778,189.2583667,751.2519891,1178.061064,2,2,208.497573,761.989685,318,10.7,9,1,2,2,1,0,0,1,318,0
202,718.4,702.4,2207.4,308.5,345.2,227.6,261.9,738.4,325.8,516.700751,44.08186525,161.0048875,721.8110769,2,2,209.081756,760.19342,70,0.43,5,1,2,2,3,0.07,0.31,0.62,70,0
203,1023,1318.2,3143.4,439.3,491.6,324.1,372.9,1051.5,463.9,126.5084346,70.25337047,334.1869045,530.9285681,2,2,207.825088,760.222351,810,0.33,3,1,2,2,3,0.03,0.31,0.66,810,0
204,367.1,376,1127.9,157.6,176.4,116.3,133.8,377.3,166.5,481.4016657,521.1500617,475.2482316,1477.720303,2,2,207.93724,758.519958,34,0.66,3,1,2,2,3,0,0.31,0.69,34,0
205,785,713.1,1998.2,335.2,344.8,186.7,217.4,637.1,276.9,434.689291,15.07196911,301.8961086,751.6573686,2,2,216.452072,756.700073,90,21.87,7,1,2,2,1,0,0,1,90,0
206,415.7,494.7,1813.2,304.2,312.9,169.4,197.3,578.1,251.3,972.0155431,405.3420741,1113.642535,2490.987958,2,2,209.294967,756.441101,70,0.92,5,1,2,2,2,0,0,1,70,0
207,2397.5,1605.7,6958.1,911,1093.4,820.3,1235.8,2342.9,554.7,579.7816997,117.2301329,542.4651568,1239.521116,2,2,216.556594,762.901306,2023,2.96,3,1,2,2,2,0,1,0,2023,0
208,3203.2,1720.5,6725.5,796,954.2,714.4,1153,2477.5,630.3,713.470248,706.2799223,1398.993192,2818.607696,2,2,215.491806,762.684326,586,5.3,4,1,2,2,2,0,1,0,586,0
209,2282.3,1429.7,6628.4,924.7,1104.1,821.2,1099.9,2229.6,448.9,119.1515793,171.2283186,391.408772,681.7886699,2,2,214.3535,759.643066,747,3.06,3,1,2,2,3,0,1,0,747,0
210,1855.1,1174.2,4699.3,666.3,779.1,558.7,832.3,1483.6,379.3,225.6201062,66.84743049,196.059054,488.5313098,2,2,221.466934,762.485656,1305,7.29,3,1,2,2,2,0,1,0,1305,0
